id;course_title;course_description;course_price;course_level
1;New Taiwan Dollar connecting Fiji Dollar;seize;55250;NOVICE
2;Fantastic;Soft;23357;BEGINNER
3;Chief;recontextualize synthesizing;38077;INTERMEDIATE
4;deposit Iraq deposit;exuding Rubber Refined Frozen Shoes;19745;BEGINNER
5;Toys;software;48700;NOVICE
6;EXE;Executive Refined Concrete;88944;NOVICE
7;ROI;deposit;27847;ADVANCED
8;auxiliary Soap Kids;Burundi Franc Kids;46879;INTERMEDIATE
9;Bhutan one-to-one Turkey;European Unit of Account 17(E.U.A.-17) structure;32879;PROFESSIONAL
10;withdrawal;THX;32124;ADVANCED
