id;discipline_name;discipline_description;discipline_price
1;Taka Flats Personal Loan Account;Lead Auto Loan Account Mandatory;91401
2;Persistent;frictionless;49287
3;withdrawal compelling Small;virtual Kansas mobile;5607
4;Ports;Global Avon;12513
5;Awesome;bleeding-edge Dynamic;1692
6;Lek calculate deposit;Orchestrator;42761
7;Concrete;Accountability Tools protocol;83654
8;XSS ADP hack;functionalities Sleek Plastic Keyboard;7779
9;monetize Books;Louisiana hack Buckinghamshire;62193
10;24 hour;Dobra;43240
