id;lesson_title;lesson_description;language
1;Director dynamic Metal;HDD;HUNGARIAN
2;Port Cordoba Oro hacking;Checking Account Granite Administrator;HUNGARIAN
3;AGP distributed Steel;Operations 24/365 Connecticut;HUNGARIAN
4;reintermediate static;Integration Graphical User Interface;GERMAN
5;Fish;Mali Handmade;HUNGARIAN
6;Paraguay invoice quantify;Garden Vision-oriented;HUNGARIAN
7;New Jersey engineer Sleek Concrete Cheese;Fantastic Dynamic;HUNGARIAN
8;salmon intuitive;Utah primary Avon;SPANISH
9;Virgin Islands, British solid state;didactic;HUNGARIAN
10;matrix;GB Pre-emptive ADP;ENGLISH
