id;resource_name;resource_description;resource_url;resource_preview_image;resource_type;weight
1;calculate invoice Metal;Pennsylvania;Intelligent Fresh Fish 24/7 calculate;Licensed Concrete Bike system engine;PARTIAL;22899
2;calculating digital Home;solution Saint Barthelemy vortals;Colorado;Sweden world-class Rapid;VIDEO;84240
3;parsing;South Africa;Practical Fresh Sausages;Fantastic;TUTORIAL;49132
4;Practical Berkshire approach;Divide Granite;web-readiness;multi-tasking;PAGE;69388
5;Wooden;Bedfordshire Licensed Fresh Table Home Loan Account;application Concrete;Wisconsin approach Brook;VIDEO;6570
6;transmitting;protocol interface;Savings Account Ergonomic Concrete Gloves;deposit Shoes matrix;IMAGE;1220
7;Chair Minnesota productize;Exclusive yellow;Intranet Montana;communities Cheese Park;PARTIAL;51860
8;Belgium Cordoba Oro morph;withdrawal Consultant;Orchestrator;Investment Account;TOOL;87964
9;Generic Fresh Hat Cambridgeshire;Money Market Account architecture Business-focused;Kina Central Sri Lanka;context-sensitive Junctions Applications;VIDEO;60771
10;Riel maroon;South Georgia and the South Sandwich Islands silver Bedfordshire;Seamless Buckinghamshire revolutionize;Directives exploit;PAGE;25117
